,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
135275,VNM,Asia,Vietnam,2020-03-07,18.0,2.0,0.286,,,0.0,0.183,0.02,0.003,,,0.0,,,,,,,,,,101.0,2109.0,0.021,0.001,71.0,0.001,0.004,248.3,samples tested,,,,,,,,,,,,,,47.22,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
16006,BIH,Europe,Bosnia and Herzegovina,2020-03-09,3.0,0.0,,,,,0.919,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
114936,OWID_SAM,,South America,2020-03-09,81.0,7.0,9.143,3.0,0.0,0.429,0.187,0.016,0.021,0.007,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260137.0,,,,,,,,,,,,,,,,,,
108433,SEN,Africa,Senegal,2020-03-09,4.0,0.0,0.429,,,0.0,0.233,0.0,0.025,,,0.0,,,,,,,,,,6.0,26.0,0.002,0.0,3.0,0.0,0.143,7.0,tests performed,,,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
2633,AND,Europe,Andorra,2020-03-10,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
28275,CRI,North America,Costa Rica,2020-03-10,9.0,0.0,,,,,1.751,0.0,,,,,,,,,,,,,,1.0,13.0,0.003,0.0,,,,,people tested,,,,,,,,,,,,,,29.63,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
115625,KOR,Asia,South Korea,2020-03-10,7513.0,35.0,332.429,54.0,1.0,3.714,146.437,0.682,6.479,1.053,0.019,0.072,0.55,,,,,,,,,13526.0,210144.0,4.096,0.264,12042.0,0.235,0.028,36.2,people tested,,,,,,,,,,,,,,55.56,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
6504,OWID_ASI,,Asia,2020-03-10,98175.0,1188.0,1372.0,3508.0,76.0,63.857,20.985,0.254,0.293,0.75,0.016,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678444992.0,,,,,,,,,,,,,,,,,,
73863,OWID_LMC,,Lower middle income,2020-03-10,8339.0,935.0,851.0,294.0,55.0,30.857,2.504,0.281,0.256,0.088,0.017,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330652550.0,,,,,,,,,,,,,,,,,,
7188,AUS,Oceania,Australia,2020-03-11,128.0,21.0,10.857,3.0,0.0,0.143,4.964,0.814,0.421,0.116,0.0,0.006,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
